UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,4,10,Pr101097,android,Pr101097,0,0
U100003,3,3,15,Pr100079,windows,Product101,1,2
U100004,0,20,21,Product101,windows,Product101,1,0
U100005,2,4,21,Pr102072,android,Pr102072,2,0
U100006,0,1,7,Pr101111,android,Pr101111,1,0
U100007,0,0,21,Product101,windows,Pr100265,0,0
U100008,6,53,21,Product101,android,Product101,27,21
U100008,7,53,21,Product101,android,Product101,27,21
U100008,3,53,21,Product101,android,Product101,27,21
U100008,30,53,21,Product101,android,Product101,27,21
U100008,1,53,21,Product101,android,Product101,27,21
U100009,1,13,21,Product101,windows,Product101,3,4
U100009,3,13,21,Product101,windows,Product101,3,4
U100009,1,13,21,Product101,windows,Product101,3,4
U100009,2,13,21,Product101,windows,Product101,3,4
U100012,24,36,21,Product101,mac os x,Product101,11,14
U100013,1,10,21,Pr100758,mac os x,Product101,6,3
U100013,4,10,21,Pr100758,mac os x,Product101,6,3
U100013,4,10,21,Pr100758,mac os x,Product101,6,3
U100014,1,12,21,Product101,windows,Product101,1,2
U100014,2,12,21,Product101,windows,Product101,1,2
U100015,15,15,21,Product101,android,Product101,7,8
U100016,1,1,21,Pr100172,android,Pr100172,1,0
U100017,2,2,6,Pr100119,windows,Pr100119,2,0
U100018,6,25,5006,Pr101268,windows,Product101,8,11
U100018,2,25,5006,Pr101268,windows,Product101,8,11
U100018,5,25,5006,Pr101268,windows,Product101,8,11
U100018,4,25,5006,Pr101268,windows,Product101,8,11
U100019,2,22,21,Pr100246,windows,Product101,8,14
U100019,1,22,21,Pr100246,windows,Product101,8,14
U100019,19,22,21,Pr100246,windows,Product101,8,14
U100020,0,11,13,Product101,mac os x,Product101,0,0
U100023,2,14,21,Pr100530,windows,Pr100530,7,0
U100023,1,14,21,Pr100530,windows,Pr100530,7,0
U100023,1,14,21,Pr100530,windows,Pr100530,7,0
U100023,1,14,21,Pr100530,windows,Pr100530,7,0
U100024,3,3,1,Pr100025,android,Pr100025,2,1
U100025,0,0,21,Product101,windows,Product101,0,0
U100026,1,13,21,Product101,windows,Product101,2,2
U100026,2,13,21,Product101,windows,Product101,2,2
U100027,9,85,21,Product101,windows,Product101,23,26
U100027,11,85,21,Product101,windows,Product101,23,26
U100027,8,85,21,Product101,windows,Product101,23,26
U100027,9,85,21,Product101,windows,Product101,23,26
U100027,9,85,21,Product101,windows,Product101,23,26
U100028,0,2,18,Pr100137,android,Pr100185,0,0
