UserID,Signup Date,User Segment
U133159,2018-04-14 07:01:16.202607+00:00,C
U129368,2017-12-02 09:38:41.584270+00:00,B
U109654,2013-03-19 11:38:55+00:00,B
U108998,2018-01-18 08:29:51.627954+00:00,C
U131393,2018-03-27 08:05:28.806800+00:00,B
U101889,2018-01-24 12:50:00.225811+00:00,B
U113233,2017-03-18 09:27:53.079335+00:00,B
U115728,2017-08-18 11:40:29.685549+00:00,B
U132899,2018-03-14 08:32:32.906136+00:00,B
U107492,2018-04-10 20:42:50.794037+00:00,B
U124573,2014-09-25 07:24:32+00:00,B
U121993,2018-03-30 05:49:26.933324+00:00,B
U125731,2017-12-22 16:57:31.586742+00:00,B
U102932,2018-02-10 20:30:29.736785+00:00,C
U114104,2018-04-01 03:31:46.712373+00:00,C
U115212,2016-03-10 04:56:16.580571+00:00,B
U127832,2018-03-22 15:30:02.714319+00:00,B
U129967,2018-02-17 04:20:02.421738+00:00,B
U102610,2017-06-05 05:14:52.605598+00:00,A
U112354,2017-09-02 12:47:49.103688+00:00,A
U109126,2017-04-12 23:01:11.347580+00:00,C
U113715,2017-09-09 18:40:25.937704+00:00,B
U134067,2017-10-12 05:09:31.533698+00:00,C
U129349,2015-10-25 19:07:50.231929+00:00,C
U128895,2017-05-24 10:23:40.358818+00:00,B
U112334,2016-05-20 12:59:28.509946+00:00,A
U102741,2017-10-29 02:50:51.606691+00:00,B
U124467,2017-09-23 15:43:02.901787+00:00,A
U120503,2018-03-17 17:48:20.811323+00:00,C
U126708,2017-06-11 12:14:47.760971+00:00,B
U121396,2018-04-05 16:23:33.831418+00:00,C
U126360,2017-02-10 04:35:27.080201+00:00,B
U126094,2017-10-20 07:25:49.292501+00:00,B
U128238,2014-09-23 16:41:28+00:00,A
U114316,2018-04-11 12:15:23.840002+00:00,B
U105115,2018-03-18 07:14:20.267427+00:00,B
U131687,2017-05-22 10:05:09.325083+00:00,C
U122015,2017-11-01 11:58:18.699643+00:00,C
U128332,2018-01-15 11:14:20.758781+00:00,B
U129803,2018-03-06 06:17:48.249172+00:00,C
U125392,2018-01-19 05:43:08.990536+00:00,C
U132173,2016-07-27 13:01:24.832385+00:00,A
U128532,2015-12-22 08:08:46.101580+00:00,B
U123979,2017-10-05 07:02:48.073757+00:00,A
U105580,2017-11-09 22:27:45.737774+00:00,C
U118236,2017-10-22 23:40:35.277249+00:00,B
U104125,2018-03-09 03:08:37.732646+00:00,C
U113268,2018-04-12 13:35:23.152244+00:00,A
U122328,2018-03-25 19:45:51.436034+00:00,C
U120124,2018-04-11 04:35:03.935037+00:00,C
U119090,2018-04-11 05:42:23.647591+00:00,A
U101923,2018-03-04 05:06:30.721278+00:00,C
U100878,2017-06-20 16:31:12.041723+00:00,C
U105401,2012-12-31 16:58:28+00:00,B
U131047,2017-08-21 09:09:49.808099+00:00,A
U125637,2018-04-03 09:11:57.793768+00:00,A
U110364,2018-03-11 22:46:31.607819+00:00,B
U117108,2013-10-18 21:29:40+00:00,C
U117020,2018-02-23 04:41:50.157194+00:00,B
U100846,2017-03-03 15:59:48.607693+00:00,B
U117971,2013-07-29 19:19:10+00:00,B
U136910,2017-12-22 01:55:46.162243+00:00,C
U119189,2017-07-24 14:20:42.210726+00:00,B
U107337,2018-04-07 14:58:53.973568+00:00,C
U129812,2018-03-09 15:35:34.287375+00:00,A
U107169,2017-04-28 09:18:33.226316+00:00,B
U120625,2018-04-15 09:42:19.114735+00:00,A
U129498,2018-04-01 22:48:54.824517+00:00,B
U114366,2013-10-26 13:37:41+00:00,A
U115994,2013-07-05 18:31:57+00:00,B
U113873,2016-08-02 19:09:01.083739+00:00,A
U105701,2018-02-17 13:44:22.864686+00:00,B
U128273,2018-02-26 02:57:20.986914+00:00,B
U135242,2017-11-07 15:55:28.565763+00:00,C
U111016,2017-06-13 04:17:28.948683+00:00,C
U113768,2017-06-24 09:34:51.179811+00:00,B
U130138,2017-11-01 05:21:27.613095+00:00,A
U113157,2015-04-11 18:20:48.102405+00:00,A
U104179,2017-07-20 08:52:51.001247+00:00,C
U108565,2017-05-07 17:54:00.182544+00:00,B
U115022,2017-05-14 05:38:38.661619+00:00,C
U116831,2014-06-30 10:59:54+00:00,C
U122230,2017-09-13 05:24:22.003120+00:00,B
U130254,2018-03-03 10:39:04.619405+00:00,C
U108754,2015-08-28 06:43:52.561419+00:00,C
U117511,2017-09-11 09:59:06.416385+00:00,B
U115385,2018-03-22 03:46:17.506574+00:00,A
U126898,2016-08-29 14:45:01.919498+00:00,B
U124144,2018-02-27 15:12:12.440689+00:00,C
U105373,2016-02-15 16:35:25.554647+00:00,C
U106645,2018-02-26 01:14:38.173735+00:00,C
U111569,2016-05-07 15:34:18.539158+00:00,B
U104248,2015-11-16 04:30:19.149232+00:00,A
U130891,2018-02-18 07:41:39.387791+00:00,A
U129980,2018-04-08 13:36:09.130521+00:00,B
U107389,2018-03-30 16:45:14.140597+00:00,B
U120427,2014-09-19 05:59:18+00:00,B
U132246,2017-09-27 11:17:15.311947+00:00,B
U117086,2018-04-01 10:22:24.827640+00:00,B
U117052,2018-04-07 11:51:53.596948+00:00,B
U128456,2017-04-02 02:17:30.643992+00:00,A
U129829,2018-03-13 17:20:56.548272+00:00,A
U113227,2018-01-28 09:40:08.972297+00:00,A
U120929,2018-01-28 15:37:30.580867+00:00,C
U104885,2016-12-19 08:48:52.351836+00:00,B
U116701,2018-01-19 12:56:48.762568+00:00,A
U125787,2018-04-01 14:53:36.419975+00:00,B
U111201,2018-01-14 14:01:42.224603+00:00,C
U133304,2015-11-19 04:49:43.703864+00:00,A
U122976,2015-04-11 14:10:52.455798+00:00,B
U119220,2017-08-01 05:00:25.583123+00:00,B
U105155,2018-02-24 10:44:29.848295+00:00,A
U128059,2017-06-29 08:02:41.965502+00:00,B
U103659,2018-02-21 15:47:54.729582+00:00,B
U122111,2018-03-23 09:30:34.529186+00:00,B
U116052,2018-04-10 23:58:56.308458+00:00,B
U127530,2018-01-24 16:41:54.132604+00:00,A
U129605,2017-11-30 03:08:56.169645+00:00,A
U129655,2017-10-20 21:13:19.901707+00:00,B
U117773,2018-02-10 06:10:25.739496+00:00,B
U117943,2018-01-15 20:16:44.808550+00:00,B
U115032,2017-12-21 11:46:38.586050+00:00,A
U134423,2018-04-03 16:18:04.124230+00:00,A
U117906,2016-08-10 06:47:13.693595+00:00,B
U129591,2018-04-03 07:36:43.005866+00:00,A
U113690,2018-04-05 04:25:48.382296+00:00,C
U103971,2018-02-10 04:29:00.268547+00:00,A
U117352,2016-04-01 09:18:49.435602+00:00,B
U127470,2017-07-06 15:25:13.789370+00:00,A
U110684,2017-04-28 05:19:42.374271+00:00,B
U100094,2018-02-06 19:10:40.515286+00:00,B
U133979,2017-05-09 11:50:10.759026+00:00,C
U125376,2014-10-06 17:00:45+00:00,C
U132644,2018-03-08 12:23:26.844086+00:00,C
U108228,2016-07-28 12:33:39.023926+00:00,C
U125584,2018-03-22 06:32:15.970900+00:00,C
